期間,株式コード,上場コード,銘柄名称,終値
2023/04,1599,011,ｉＦｒｅｅＥＴＦ　ＪＰＸ日経４００,18950
2023/04,1601,,帝国石油,
2023/04,1603,,アラビア石油,
2023/04,1604,,国際石油開発,
2023/04,1605,011,ＩＮＰＥＸ,1473
2023/04,1606,,日本海洋掘削,
2023/04,1610,,ダイワ上場投信－東証電気機器株価指数,
2023/04,1611,,ダイワ上場投信－東証輸送用機器株価指数,
2023/04,1612,,ダイワ上場投信－東証銀行業株価指数,
2023/04,1613,,東証電気機器株価指数連動型上場投資信託,
2023/04,1614,,東証輸送用機器株価指数連動型上場投資信託,
2023/04,1615,011,ＮＥＸＴ　ＦＵＮＤＳ　東証銀行業株価指数,220
2023/04,1617,011,ＮＥＸＴ　ＦＵＮＤＳ　食品（ＴＯＰＩＸ－,32770
2023/04,1618,011,ＮＥＸＴ　ＦＵＮＤＳ　エネルギー資源（Ｔ,13750
2023/04,1619,011,ＮＥＸＴ　ＦＵＮＤＳ　建設・資材（ＴＯＰ,23645
2023/04,1620,011,ＮＥＸＴ　ＦＵＮＤＳ　素材・化学（ＴＯＰ,26050
2023/04,1621,011,ＮＥＸＴ　ＦＵＮＤＳ　医薬品（ＴＯＰＩＸ,26760
2023/04,1622,011,ＮＥＸＴ　ＦＵＮＤＳ　自動車・輸送機（Ｔ,23635
2023/04,1623,011,ＮＥＸＴ　ＦＵＮＤＳ　鉄鋼・非鉄（ＴＯＰ,20295
2023/04,1624,011,ＮＥＸＴ　ＦＵＮＤＳ　機械（ＴＯＰＩＸ－,42270
2023/04,1625,011,ＮＥＸＴ　ＦＵＮＤＳ　電機・精密（ＴＯＰ,28570
2023/04,1626,011,ＮＥＸＴ　ＦＵＮＤＳ　情報通信・サービス,28700
2023/04,1627,011,ＮＥＸＴ　ＦＵＮＤＳ　電力・ガス（ＴＯＰ,6560
2023/04,1628,011,ＮＥＸＴ　ＦＵＮＤＳ　運輸・物流（ＴＯＰ,17075
2023/04,1629,011,ＮＥＸＴ　ＦＵＮＤＳ　商社・卸売（ＴＯＰ,57270
2023/04,1630,011,ＮＥＸＴ　ＦＵＮＤＳ　小売（ＴＯＰＩＸ－,24640
2023/04,1631,011,ＮＥＸＴ　ＦＵＮＤＳ　銀行（ＴＯＰＩＸ－,10730
2023/04,1632,011,ＮＥＸＴ　ＦＵＮＤＳ　金融（除く銀行）（,15610
2023/04,1633,011,ＮＥＸＴ　ＦＵＮＤＳ　不動産（ＴＯＰＩＸ,29580
2023/04,1634,,ダイワ上場投信・ＴＯＰＩＸ－１７　食品,
2023/04,1635,,ダイワ上場投信・ＴＯＰＩＸ－１７　エネル,
2023/04,1636,,ダイワ上場投信・ＴＯＰＩＸ－１７　建設・,
2023/04,1637,,ダイワ上場投信・ＴＯＰＩＸ－１７　素材・,
