期間,株式コード,上場コード,銘柄名称,取引所
2023/04,1554,11,上場インデックスファンド世界株式（ＭＳＣ,1
2023/04,1555,11,上場インデックスファンド豪州リート（Ｓ＆,1
2023/04,1556,,上場インデックスファンド日経中国関連株５,
2023/04,1557,13,ＳＰＤＲ　Ｓ＆Ｐ５００　ＥＴＦ,1
2023/04,1559,11,ＮＥＸＴ　ＦＵＮＤＳ　タイ株式ＳＥＴ５０,1
2023/04,1560,11,ＮＥＸＴ　ＦＵＮＤＳ　ＦＴＳＥブルサ・マ,1
2023/04,1561,,国際のＥＴＦ　ＶＩＸ中期先物指数,
2023/04,1562,,ＹＯＵＲＭＩＲＡＩ　アジア関連日本株指数,
2023/04,1563,11,東証グロース・コアＥＴＦ,1
2023/04,1565,,日経カバードコール指数上場投信,
2023/04,1566,11,上場インデックスファンド新興国債券,1
2023/04,1567,,ＭＡＸＩＳトピックスリスクコントロール（,
2023/04,1568,11,ＴＯＰＩＸブル２倍上場投信,1
2023/04,1569,11,ＴＯＰＩＸベア上場投信,1
2023/04,1570,11,ＮＥＸＴ　ＦＵＮＤＳ　日経平均レバレッジ,1
2023/04,1571,11,ＮＥＸＴ　ＦＵＮＤＳ　日経平均インバース,1
2023/04,1572,11,中国Ｈ株ブル２倍上場投信,1
2023/04,1573,11,中国Ｈ株ベア上場投信,1
2023/04,1574,,ＭＡＸＩＳトピックスリスクコントロール（,
2023/04,1575,,ＣｈｉｎａＡＭＣ　ＣＳＩ　３００　Ｉｎｄ,
2023/04,1576,,南方　ＦＴＳＥ　中国Ａ株５０　ＥＴＦ,
2023/04,1577,11,ＮＥＸＴ　ＦＵＮＤＳ　野村日本株高配当７,1
2023/04,1578,11,上場インデックスファンド日経２２５（ミニ,1
2023/04,1579,11,日経平均ブル２倍上場投信,1
2023/04,1580,11,日経平均ベア上場投信,1
2023/04,1581,,ｉシェアーズ　先進国株ＥＴＦ－ＪＤＲ（Ｍ,
2023/04,1582,,ｉシェアーズ　エマージング株ＥＴＦ－ＪＤ,
2023/04,1583,,ｉシェアーズ　フロンティア株ＥＴＦ－ＪＤ,
2023/04,1584,,サムスンＫＯＤＥＸサムスングループ株証券,
2023/04,1585,11,ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸ　Ｅｘ－Ｆｉ,1
2023/04,1586,11,上場インデックスファンドＴＯＰＩＸ　Ｅｘ,1
2023/04,1587,,ｉシェアーズ　米国超大型株ＥＴＦ－ＪＤＲ,
2023/04,1588,,ｉシェアーズ　米国小型株ＥＴＦ－ＪＤＲ（,
2023/04,1589,,ｉシェアーズ　米国高配当株ＥＴＦ－ＪＤＲ（モー,
2023/04,1590,,ｉシェアーズ　米国リート・不動産株ＥＴＦ－ＪＤ,
2023/04,1591,11,ＮＥＸＴ　ＦＵＮＤＳ　ＪＰＸ日経インデッ,1
2023/04,1592,11,上場インデックスファンドＪＰＸ日経インデ,1
2023/04,1593,11,ＭＡＸＩＳ　ＪＰＸ日経インデックス４００,1
2023/04,1595,11,ＮＺＡＭ　上場投信　東証ＲＥＩＴ指数,1
2023/04,1596,11,ＮＺＡＭ　上場投信　ＴＯＰＩＸ　Ｅｘ－Ｆ,1
2023/04,1597,11,ＭＡＸＩＳ　Ｊリート上場投信,1
2023/04,1598,,ＮＥＸＴ　ＦＵＮＤＳ　Ｒ／Ｎファンダメン,
2023/04,1599,11,ｉＦｒｅｅＥＴＦ　ＪＰＸ日経４００,1
2023/04,1601,,帝国石油,
2023/04,1603,,アラビア石油,
2023/04,1604,,国際石油開発,
2023/04,1605,11,ＩＮＰＥＸ,1
2023/04,1606,,日本海洋掘削,
2023/04,1610,,ダイワ上場投信－東証電気機器株価指数,
2023/04,1611,,ダイワ上場投信－東証輸送用機器株価指数,
2023/04,1612,,ダイワ上場投信－東証銀行業株価指数,
2023/04,1613,,東証電気機器株価指数連動型上場投資信託,
2023/04,1614,,東証輸送用機器株価指数連動型上場投資信託,
2023/04,1615,11,ＮＥＸＴ　ＦＵＮＤＳ　東証銀行業株価指数,1
2023/04,1616,,ＦＴＳＥ　日本指数連動型上場投資信託,
2023/04,1617,11,ＮＥＸＴ　ＦＵＮＤＳ　食品（ＴＯＰＩＸ－,1
2023/04,1618,11,ＮＥＸＴ　ＦＵＮＤＳ　エネルギー資源（Ｔ,1
2023/04,1619,11,ＮＥＸＴ　ＦＵＮＤＳ　建設・資材（ＴＯＰ,1
2023/04,1620,11,ＮＥＸＴ　ＦＵＮＤＳ　素材・化学（ＴＯＰ,1
2023/04,1621,11,ＮＥＸＴ　ＦＵＮＤＳ　医薬品（ＴＯＰＩＸ,1
2023/04,1622,11,ＮＥＸＴ　ＦＵＮＤＳ　自動車・輸送機（Ｔ,1
2023/04,1623,11,ＮＥＸＴ　ＦＵＮＤＳ　鉄鋼・非鉄（ＴＯＰ,1
2023/04,1624,11,ＮＥＸＴ　ＦＵＮＤＳ　機械（ＴＯＰＩＸ－,1
2023/04,1625,11,ＮＥＸＴ　ＦＵＮＤＳ　電機・精密（ＴＯＰ,1
2023/04,1626,11,ＮＥＸＴ　ＦＵＮＤＳ　情報通信・サービス,1
2023/04,1627,11,ＮＥＸＴ　ＦＵＮＤＳ　電力・ガス（ＴＯＰ,1
2023/04,1628,11,ＮＥＸＴ　ＦＵＮＤＳ　運輸・物流（ＴＯＰ,1
2023/04,1629,11,ＮＥＸＴ　ＦＵＮＤＳ　商社・卸売（ＴＯＰ,1
2023/04,1630,11,ＮＥＸＴ　ＦＵＮＤＳ　小売（ＴＯＰＩＸ－,1
2023/04,1631,11,ＮＥＸＴ　ＦＵＮＤＳ　銀行（ＴＯＰＩＸ－,1
2023/04,1632,11,ＮＥＸＴ　ＦＵＮＤＳ　金融（除く銀行）（,1
